id,username,created_at,lng,lat,text
1518289757343735808,AlisaPenninger,Sun Apr 24 18:04:21 +0000 2022,-79.861034,35.1704985,Praying for rain in Ukraine…😰 https://t.co/rK3k2SJaIo
1518289806727340032,DebraCollard1,Sun Apr 24 18:04:33 +0000 2022,-120.58340150000001,44.1454365,See Maria Bart on 4-22-2022 Radcliffe. Spread it. Read Mearsheimer Chic Prof 2014. Spread it Biden caused Ukraine.… https://t.co/obsLl4cSIq
1518289961505669123,Jaywatches2,Sun Apr 24 18:05:09 +0000 2022,-81.62017349999999,31.8275075,"Today I ask you for your help.I know Democrats Republicans are out of touch. 14 billion to Ukraine while 550,000 s… https://t.co/o9Vu30bUKy"
1518290162010238977,MagnumSilentium,Sun Apr 24 18:05:57 +0000 2022,-83.1738665,32.6782075,and was caught selling arms to russiaso there's that..😳😡🙄 #Ukraine 🇺🇦
1518290588075917312,BraydonMaz,Sun Apr 24 18:07:39 +0000 2022,-97.1526765,49.8538055,“Centrist”. You mean socialist that shares a brain with @JustinTrudeau. Lord have mercy on the French people.
1518290615318061056,zuzovcacikova,Sun Apr 24 18:07:45 +0000 2022,17.2795355,49.597466499999996,"I saw this rainbow today in Olomouc. It immediately brings me feeling like hope, love and mostly END OF THE WAR.🙏 T… https://t.co/dg6yxRLF99"
1518290798093160450,beastynewall,Sun Apr 24 18:08:29 +0000 2022,-2.214051,53.1630785,Staged
1518291013877518341,Jerseygirlnb1,Sun Apr 24 18:09:20 +0000 2022,-75.77004099999999,42.746617,Is it any wonder that we're in love with this guy? #Hero #Zelensky #Zelenskyy #WarHero #Ukraine #Dancing 🇺🇦https://t.co/ZUlRri1raI
1518291043862687745,ethanclynne,Sun Apr 24 18:09:27 +0000 2022,-77.4733985,37.7615815,Ukraine (+ especially Zelenskyy) breathing a heavy sigh of relief today
1518291055426293760,judyinfife,Sun Apr 24 18:09:30 +0000 2022,-3.1667955,56.117733,Moving scenes and solemn moments of commemoration at the Katyn Memorial today. It is always an honour to lay a wre… https://t.co/9o9evqdBg4
1518291227556331520,Bobautoexp,Sun Apr 24 18:10:11 +0000 2022,-0.412022,51.375744999999995,@strategywoman 👍 Lovely 🙏 God bless all Ukraine folks and children. x
1518291460881215488,epmccom,Sun Apr 24 18:11:07 +0000 2022,-115.223125,36.232915,https://t.co/yp4GU4dWV4New Russia aircraft in Ukraine 🇺🇦?
1518292024193134593,lmv6719,Sun Apr 24 18:13:21 +0000 2022,-79.403548,44.1434035,"Luckily, most of our extreme rightwing idiots live in the western provinces or in rural areas you’re unlikely to vi… https://t.co/ahuVIGUkzI"
1518292221103013888,ay_newsreport,Sun Apr 24 18:14:08 +0000 2022,77.095086,28.6384895,"What is a mistake?What was wrong?What was to correct?What is the difference between Mussolini, Hitler and Empero… https://t.co/tXnGA2KXyt"
1518292240971571201,VTSquirrely,Sun Apr 24 18:14:13 +0000 2022,-77.49317049999999,37.529883,Phew! 🥳🥳🥳
1518292313499488258,hanifsahib,Sun Apr 24 18:14:30 +0000 2022,-77.60468399999999,41.1179365,#امپورٹڈ_حکومت_نامنظورUkraine
